#collection _Primitives	Style
Colors/Gray/500	C	#6b7280
Colors/Gray/600	C	#4b5563
Colors/Gray/700	C	#374151
Colors/Gray/800	C	#1f2937
Colors/Gray/900	C	#111827
Colors/Gray/950	C	#030712
Colors/Stone/50	C	#fafaf9
Colors/Stone/100	C	#f5f5f4
Colors/Stone/200	C	#e7e5e4
Colors/Stone/300	C	#d6d3d1
Colors/Stone/400	C	#a8a29e
Colors/Stone/500	C	#78716c
Colors/Stone/600	C	#57534e
Colors/Stone/700	C	#44403c
Colors/Stone/800	C	#292524
Colors/Stone/900	C	#1c1917
Colors/Stone/950	C	#0c0a09
Spacing/0 (0px)	F	0
Spacing/0․5 (2px)	F	2
Spacing/1 (4px)	F	4
Spacing/1․5 (6px)	F	6
Spacing/2 (8px)	F	8
Spacing/3 (12px)	F	12
Spacing/4 (16px)	F	16
Spacing/5 (20px)	F	20
Spacing/6 (24px)	F	24
Spacing/8 (32px)	F	32
Spacing/10 (40px)	F	40
Spacing/12 (48px)	F	48
Spacing/16 (64px)	F	64
Spacing/20 (80px)	F	80
Spacing/24 (96px)	F	96
Spacing/32 (128px)	F	128
Spacing/40 (160px)	F	160
Spacing/48 (192px)	F	192
Spacing/56 (224px)	F	224
Spacing/64 (256px)	F	256
Spacing/80 (320px)	F	320
Spacing/96 (384px)	F	384
Spacing/120 (480px)	F	480
Spacing/140 (560px)	F	560
Spacing/160 (640px)	F	640
Spacing/180 (720px)	F	720
Spacing/192 (768px)	F	768
Spacing/256 (1,024px)	F	1024
Spacing/320 (1,280px)	F	1280
Spacing/360 (1,440px)	F	1440
Spacing/400 (1,600px)	F	1600
Spacing/480 (1,920px)	F	1920
Colors/Taupe/50	C	#fbfaf9
Colors/Taupe/100	C	#f3f1f1
Colors/Taupe/200	C	#e8e4e3
Colors/Taupe/300	C	#d8d2d0
Colors/Taupe/400	C	#aba09c
Colors/Taupe/500	C	#7c6d67
Colors/Taupe/600	C	#5b4f4b
Colors/Taupe/700	C	#473c39
Colors/Taupe/800	C	#2b2422
Colors/Taupe/900	C	#1d1816
Colors/Taupe/950	C	#0c0a09
Colors/Mauve/50	C	#fafafa
Colors/Mauve/100	C	#f3f1f3
Colors/Mauve/200	C	#e7e4e7
Colors/Mauve/300	C	#d7d0d7
Colors/Mauve/400	C	#a89ea9
Colors/Mauve/500	C	#79697b
Colors/Mauve/600	C	#594c5b
Colors/Mauve/700	C	#463947
Colors/Mauve/800	C	#2a212c
Colors/Mauve/900	C	#1d161e
Colors/Mauve/950	C	#0c090c
Colors/Mist/50	C	#f9fbfb
Colors/Mist/100	C	#f1f3f3
Colors/Mist/200	C	#e3e7e8
Colors/Mist/300	C	#d0d6d8
Colors/Mist/400	C	#9ca8ab
Colors/Mist/500	C	#67787c
Colors/Mist/600	C	#4b585b
Colors/Mist/700	C	#394447
Colors/Mist/800	C	#22292b
Colors/Mist/900	C	#161b1d
Colors/Mist/950	C	#090b0c
Colors/Olive/50	C	#fbfbf9
Colors/Olive/100	C	#f4f4f0
Colors/Olive/200	C	#e8e8e3
Colors/Olive/300	C	#d8d8d0
Colors/Olive/400	C	#abab9c
Colors/Olive/500	C	#7c7c67
Colors/Olive/600	C	#5b5b4b
Colors/Olive/700	C	#474739
Colors/Olive/800	C	#2b2b22
Colors/Olive/900	C	#1d1d16
Colors/Olive/950	C	#0c0c09
